,,,time,reward,length,instance,episode,checkpoint
0,10x10_0_inst,10x10_0_inst,39.3011257648468,0.48750000000000004,115,10x10_0_inst,0,10x10_0_inst/0
0,10x10_1_inst,10x10_0_inst,42.3853759765625,0.6875,111,10x10_0_inst,0,10x10_1_inst/0
0,10x10_2_inst,10x10_0_inst,37.222097396850586,0.725,101,10x10_0_inst,0,10x10_2_inst/0
0,10x10_3_inst,10x10_0_inst,37.822535037994385,0.75,100,10x10_0_inst,0,10x10_3_inst/0
0,10x10_4_inst,10x10_0_inst,37.5623881816864,0.775,100,10x10_0_inst,0,10x10_4_inst/0
0,10x10_5_inst,10x10_0_inst,36.955299377441406,0.75,100,10x10_0_inst,0,10x10_5_inst/0
0,10x10_6_inst,10x10_0_inst,37.20209550857544,0.75,100,10x10_0_inst,0,10x10_6_inst/0
0,10x10_7_inst,10x10_0_inst,30.846380949020386,0.75,100,10x10_0_inst,0,10x10_7_inst/0
0,10x10_8_inst,10x10_0_inst,40.914722204208374,0.4375,114,10x10_0_inst,0,10x10_8_inst/0
0,10x10_9_inst,10x10_0_inst,36.69749569892883,0.8,102,10x10_0_inst,0,10x10_9_inst/0
0,10x10_10_inst,10x10_0_inst,43.69964075088501,0.5875,115,10x10_0_inst,0,10x10_10_inst/0
0,10x10_11_inst,10x10_0_inst,36.89661169052124,0.75,104,10x10_0_inst,0,10x10_11_inst/0
0,10x10_12_inst,10x10_0_inst,36.80553603172302,0.85,103,10x10_0_inst,0,10x10_12_inst/0
0,10x10_13_inst,10x10_0_inst,38.449734926223755,0.8125,102,10x10_0_inst,0,10x10_13_inst/0
0,10x10_14_inst,10x10_0_inst,36.38780736923218,0.85,103,10x10_0_inst,0,10x10_14_inst/0
0,10x10_15_inst,10x10_0_inst,32.14738607406616,0.775,101,10x10_0_inst,0,10x10_15_inst/0
0,10x10_16_inst,10x10_0_inst,31.120310068130493,0.8125,100,10x10_0_inst,0,10x10_16_inst/0
0,10x10_17_inst,10x10_0_inst,37.03346514701843,0.85,100,10x10_0_inst,0,10x10_17_inst/0
0,10x10_18_inst,10x10_0_inst,38.33293628692627,0.6,102,10x10_0_inst,0,10x10_18_inst/0
0,10x10_19_inst,10x10_0_inst,36.46529269218445,0.775,100,10x10_0_inst,0,10x10_19_inst/0
0,10x10_0_inst,10x10_1_inst,47.215364933013916,0.76,128,10x10_1_inst,0,10x10_0_inst/0
0,10x10_1_inst,10x10_1_inst,49.53460383415222,0.75,131,10x10_1_inst,0,10x10_1_inst/0
0,10x10_2_inst,10x10_1_inst,36.81129336357117,0.84,112,10x10_1_inst,0,10x10_2_inst/0
0,10x10_3_inst,10x10_1_inst,37.18624520301819,0.8,100,10x10_1_inst,0,10x10_3_inst/0
0,10x10_4_inst,10x10_1_inst,39.6168794631958,0.74,100,10x10_1_inst,0,10x10_4_inst/0
0,10x10_5_inst,10x10_1_inst,31.76141595840454,0.8,100,10x10_1_inst,0,10x10_5_inst/0
0,10x10_6_inst,10x10_1_inst,34.009852170944214,0.84,100,10x10_1_inst,0,10x10_6_inst/0
0,10x10_7_inst,10x10_1_inst,40.90631985664368,0.76,101,10x10_1_inst,0,10x10_7_inst/0
0,10x10_8_inst,10x10_1_inst,36.742122650146484,0.86,102,10x10_1_inst,0,10x10_8_inst/0
0,10x10_9_inst,10x10_1_inst,40.1316556930542,0.8,109,10x10_1_inst,0,10x10_9_inst/0
0,10x10_10_inst,10x10_1_inst,45.79674029350281,0.8,120,10x10_1_inst,0,10x10_10_inst/0
0,10x10_11_inst,10x10_1_inst,37.39310169219971,0.8,104,10x10_1_inst,0,10x10_11_inst/0
0,10x10_12_inst,10x10_1_inst,35.39029121398926,0.8,101,10x10_1_inst,0,10x10_12_inst/0
0,10x10_13_inst,10x10_1_inst,40.245837926864624,0.84,104,10x10_1_inst,0,10x10_13_inst/0
0,10x10_14_inst,10x10_1_inst,37.604530334472656,0.86,102,10x10_1_inst,0,10x10_14_inst/0
0,10x10_15_inst,10x10_1_inst,36.9498450756073,0.79,101,10x10_1_inst,0,10x10_15_inst/0
0,10x10_16_inst,10x10_1_inst,34.617562770843506,0.85,100,10x10_1_inst,0,10x10_16_inst/0
0,10x10_17_inst,10x10_1_inst,34.52966380119324,0.8,101,10x10_1_inst,0,10x10_17_inst/0
0,10x10_18_inst,10x10_1_inst,38.653252840042114,0.78,105,10x10_1_inst,0,10x10_18_inst/0
0,10x10_19_inst,10x10_1_inst,38.137335777282715,0.84,100,10x10_1_inst,0,10x10_19_inst/0
0,10x10_0_inst,10x10_2_inst,45.307268142700195,0.7142857142857143,115,10x10_2_inst,0,10x10_0_inst/0
0,10x10_1_inst,10x10_2_inst,49.567365407943726,0.6632653061224489,118,10x10_2_inst,0,10x10_1_inst/0
0,10x10_2_inst,10x10_2_inst,39.21290898323059,0.8163265306122449,104,10x10_2_inst,0,10x10_2_inst/0
0,10x10_3_inst,10x10_2_inst,42.539063930511475,0.826530612244898,100,10x10_2_inst,0,10x10_3_inst/0
0,10x10_4_inst,10x10_2_inst,43.821372747421265,0.5918367346938775,102,10x10_2_inst,0,10x10_4_inst/0
0,10x10_5_inst,10x10_2_inst,37.59499979019165,0.8163265306122449,100,10x10_2_inst,0,10x10_5_inst/0
