,,,time,reward,length,instance,episode,checkpoint
0,3x3_0_inst,1,0.2618875503540039,1.0,9,3x3_0_inst,0,3x3_0_inst/0
0,3x3_0_inst,2,0.27230334281921387,1.0,9,3x3_0_inst,0,3x3_0_inst/0
0,3x3_0_inst,3,0.31446361541748047,1.0,9,3x3_0_inst,0,3x3_0_inst/0
0,3x3_0_inst,4,0.36009669303894043,1.0,9,3x3_0_inst,0,3x3_0_inst/0
0,3x3_0_inst,5,0.3610870838165283,1.0,9,3x3_0_inst,0,3x3_0_inst/0
0,3x3_0_inst,6,0.3189253807067871,1.0,9,3x3_0_inst,0,3x3_0_inst/0
0,3x3_0_inst,7,0.318927526473999,1.0,9,3x3_0_inst,0,3x3_0_inst/0
0,3x3_0_inst,8,0.32289624214172363,1.0,9,3x3_0_inst,0,3x3_0_inst/0
0,3x3_0_inst,9,0.30255985260009766,1.0,9,3x3_0_inst,0,3x3_0_inst/0
0,3x3_0_inst,10,0.287184476852417,1.0,9,3x3_0_inst,0,3x3_0_inst/0
0,3x3_1_inst,1,0.23807907104492188,1.0,9,3x3_1_inst,0,3x3_1_inst/0
0,3x3_1_inst,2,0.25345611572265625,1.0,9,3x3_1_inst,0,3x3_1_inst/0
0,3x3_1_inst,3,0.23262357711791992,1.0,9,3x3_1_inst,0,3x3_1_inst/0
0,3x3_1_inst,4,0.19244670867919922,1.0,9,3x3_1_inst,0,3x3_1_inst/0
0,3x3_1_inst,5,0.2147676944732666,1.0,9,3x3_1_inst,0,3x3_1_inst/0
0,3x3_1_inst,6,0.18550491333007812,1.0,9,3x3_1_inst,0,3x3_1_inst/0
0,3x3_1_inst,7,0.22121596336364746,1.0,9,3x3_1_inst,0,3x3_1_inst/0
0,3x3_1_inst,8,0.24155116081237793,1.0,9,3x3_1_inst,0,3x3_1_inst/0
0,3x3_1_inst,9,0.21625542640686035,1.0,9,3x3_1_inst,0,3x3_1_inst/0
0,3x3_1_inst,10,0.22419095039367676,1.0,9,3x3_1_inst,0,3x3_1_inst/0
0,3x3_2_inst,1,0.28470325469970703,1.0,9,3x3_2_inst,0,3x3_2_inst/0
0,3x3_2_inst,2,0.275775671005249,1.0,9,3x3_2_inst,0,3x3_2_inst/0
0,3x3_2_inst,3,0.2559366226196289,1.0,9,3x3_2_inst,0,3x3_2_inst/0
0,3x3_2_inst,4,0.2450242042541504,1.0,9,3x3_2_inst,0,3x3_2_inst/0
0,3x3_2_inst,5,0.2187356948852539,1.0,9,3x3_2_inst,0,3x3_2_inst/0
0,3x3_2_inst,6,0.2127828598022461,1.0,9,3x3_2_inst,0,3x3_2_inst/0
0,3x3_2_inst,7,0.23113369941711426,1.0,9,3x3_2_inst,0,3x3_2_inst/0
0,3x3_2_inst,8,0.22369742393493652,1.0,9,3x3_2_inst,0,3x3_2_inst/0
0,3x3_2_inst,9,0.23163247108459473,1.0,9,3x3_2_inst,0,3x3_2_inst/0
0,3x3_2_inst,10,0.25047969818115234,1.0,9,3x3_2_inst,0,3x3_2_inst/0
0,3x3_3_inst,1,0.265855073928833,0.9090909090909091,9,3x3_3_inst,0,3x3_3_inst/0
0,3x3_3_inst,2,0.26337552070617676,0.9090909090909091,9,3x3_3_inst,0,3x3_3_inst/0
0,3x3_3_inst,3,0.23411321640014648,0.9090909090909091,9,3x3_3_inst,0,3x3_3_inst/0
0,3x3_3_inst,4,0.3030557632446289,0.9090909090909091,9,3x3_3_inst,0,3x3_3_inst/0
0,3x3_3_inst,5,0.3685281276702881,0.9090909090909091,9,3x3_3_inst,0,3x3_3_inst/0
0,3x3_3_inst,6,0.29958343505859375,0.9090909090909091,9,3x3_3_inst,0,3x3_3_inst/0
0,3x3_3_inst,7,0.4245753288269043,1.0,10,3x3_3_inst,0,3x3_3_inst/0
0,3x3_3_inst,8,0.3531515598297119,1.0,10,3x3_3_inst,0,3x3_3_inst/0
0,3x3_3_inst,9,0.4176313877105713,1.0,10,3x3_3_inst,0,3x3_3_inst/0
0,3x3_3_inst,10,0.3665435314178467,1.0,10,3x3_3_inst,0,3x3_3_inst/0
0,3x3_4_inst,1,0.3099994659423828,1.0,9,3x3_4_inst,0,3x3_4_inst/0
0,3x3_4_inst,2,0.2861921787261963,1.0,9,3x3_4_inst,0,3x3_4_inst/0
0,3x3_4_inst,3,0.26535940170288086,1.0,9,3x3_4_inst,0,3x3_4_inst/0
0,3x3_4_inst,4,0.28867125511169434,1.0,9,3x3_4_inst,0,3x3_4_inst/0
0,3x3_4_inst,5,0.24204730987548828,1.0,9,3x3_4_inst,0,3x3_4_inst/0
0,3x3_4_inst,6,0.23063945770263672,1.0,9,3x3_4_inst,0,3x3_4_inst/0
0,3x3_4_inst,7,0.16516733169555664,1.0,9,3x3_4_inst,0,3x3_4_inst/0
0,3x3_4_inst,8,0.23163127899169922,1.0,9,3x3_4_inst,0,3x3_4_inst/0
0,3x3_4_inst,9,0.19691085815429688,1.0,9,3x3_4_inst,0,3x3_4_inst/0
0,3x3_4_inst,10,0.20435166358947754,1.0,9,3x3_4_inst,0,3x3_4_inst/0
0,3x3_5_inst,1,0.1736001968383789,0.8181818181818181,9,3x3_5_inst,0,3x3_5_inst/0
