episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/value_loss
36.0,9.0,27.076923076923077,27.076923076923077,26,6,704,704,704,False,26,1,dede1_00000,59eecdea239d4a3c8ff1b4230c0d3f19,2022-08-17_20-48-24,1660762104,100.0999608039856,100.0999608039856,88559,Christophs-MBP,127.0.0.1,100.0999608039856,704,1,19.990622997283936,"[28.0, 33.0, 32.0, 27.0, 27.0, 30.0, 27.0, 27.0, 27.0, 26.0, 26.0, 9.0, 27.0, 26.0, 27.0, 10.0, 26.0, 34.0, 30.0, 36.0, 28.0, 29.0, 26.0, 33.0, 27.0, 26.0]","[28, 33, 32, 27, 27, 30, 27, 27, 27, 26, 26, 9, 27, 26, 27, 10, 26, 34, 30, 36, 28, 29, 26, 33, 27, 26]",0.47740126257159343,737.6398284077527,0.21856254585730767,0.12953561190038732,0.0,100116.002,7.032,19.437,36219.886,3.206,704,704,704,704,92.0034965034965,61.923776223776215,0.9085698,0.69379044,1.1233492
62.0,9.0,28.5,28.5,26,6,1482,778,1482,False,52,2,dede1_00000,59eecdea239d4a3c8ff1b4230c0d3f19,2022-08-17_20-50-44,1660762244,139.9007830619812,240.0007438659668,88559,Christophs-MBP,127.0.0.1,240.0007438659668,1482,2,19.990622997283936,"[28.0, 33.0, 32.0, 27.0, 27.0, 30.0, 27.0, 27.0, 27.0, 26.0, 26.0, 9.0, 27.0, 26.0, 27.0, 10.0, 26.0, 34.0, 30.0, 36.0, 28.0, 29.0, 26.0, 33.0, 27.0, 26.0, 13.0, 30.0, 62.0, 30.0, 28.0, 28.0, 29.0, 28.0, 30.0, 29.0, 28.0, 27.0, 30.0, 28.0, 16.0, 26.0, 45.0, 34.0, 37.0, 30.0, 28.0, 30.0, 31.0, 28.0, 26.0, 27.0]","[28, 33, 32, 27, 27, 30, 27, 27, 27, 26, 26, 9, 27, 26, 27, 10, 26, 34, 30, 36, 28, 29, 26, 33, 27, 26, 13, 30, 62, 30, 28, 28, 29, 28, 30, 29, 28, 27, 30, 28, 16, 26, 45, 34, 37, 30, 28, 30, 31, 28, 26, 27]",0.49663527559555615,748.4064115746132,0.22012965937728313,0.13515863571401426,0.0,120047.286,6.173,13.951,53114.232,3.113,1482,1482,1482,778,91.76080402010051,61.38492462311559,0.8538634,0.69331205,1.0144148
62.0,9.0,28.810126582278482,28.810126582278482,27,6,2276,794,2276,False,79,3,dede1_00000,59eecdea239d4a3c8ff1b4230c0d3f19,2022-08-17_20-52-30,1660762350,105.32718825340271,345.3279321193695,88559,Christophs-MBP,127.0.0.1,345.3279321193695,2276,3,19.990622997283936,"[28.0, 33.0, 32.0, 27.0, 27.0, 30.0, 27.0, 27.0, 27.0, 26.0, 26.0, 9.0, 27.0, 26.0, 27.0, 10.0, 26.0, 34.0, 30.0, 36.0, 28.0, 29.0, 26.0, 33.0, 27.0, 26.0, 13.0, 30.0, 62.0, 30.0, 28.0, 28.0, 29.0, 28.0, 30.0, 29.0, 28.0, 27.0, 30.0, 28.0, 16.0, 26.0, 45.0, 34.0, 37.0, 30.0, 28.0, 30.0, 31.0, 28.0, 26.0, 27.0, 36.0, 30.0, 30.0, 33.0, 16.0, 31.0, 34.0, 28.0, 37.0, 36.0, 27.0, 33.0, 27.0, 26.0, 37.0, 29.0, 27.0, 29.0, 30.0, 12.0, 28.0, 28.0, 12.0, 29.0, 46.0, 34.0, 29.0]","[28, 33, 32, 27, 27, 30, 27, 27, 27, 26, 26, 9, 27, 26, 27, 10, 26, 34, 30, 36, 28, 29, 26, 33, 27, 26, 13, 30, 62, 30, 28, 28, 29, 28, 30, 29, 28, 27, 30, 28, 16, 26, 45, 34, 37, 30, 28, 30, 31, 28, 26, 27, 36, 30, 30, 33, 16, 31, 34, 28, 37, 36, 27, 33, 27, 26, 37, 29, 27, 29, 30, 12, 28, 28, 12, 29, 46, 34, 29]",0.4880384657835635,744.771138614151,0.22006680019654545,0.1383039592347398,0.0,115154.037,6.588,11.989,63278.355,2.961,2276,2276,2276,794,96.73154362416106,62.50939597315437,0.8030509,0.6925335,0.9135683
62.0,9.0,28.84,28.84,25,6,3004,728,3004,False,104,4,dede1_00000,59eecdea239d4a3c8ff1b4230c0d3f19,2022-08-17_20-54-18,1660762458,108.23027682304382,453.55820894241333,88559,Christophs-MBP,127.0.0.1,453.55820894241333,3004,4,19.990622997283936,"[27.0, 30.0, 27.0, 27.0, 27.0, 26.0, 26.0, 9.0, 27.0, 26.0, 27.0, 10.0, 26.0, 34.0, 30.0, 36.0, 28.0, 29.0, 26.0, 33.0, 27.0, 26.0, 13.0, 30.0, 62.0, 30.0, 28.0, 28.0, 29.0, 28.0, 30.0, 29.0, 28.0, 27.0, 30.0, 28.0, 16.0, 26.0, 45.0, 34.0, 37.0, 30.0, 28.0, 30.0, 31.0, 28.0, 26.0, 27.0, 36.0, 30.0, 30.0, 33.0, 16.0, 31.0, 34.0, 28.0, 37.0, 36.0, 27.0, 33.0, 27.0, 26.0, 37.0, 29.0, 27.0, 29.0, 30.0, 12.0, 28.0, 28.0, 12.0, 29.0, 46.0, 34.0, 29.0, 30.0, 29.0, 29.0, 11.0, 35.0, 28.0, 37.0, 30.0, 29.0, 29.0, 29.0, 27.0, 27.0, 30.0, 34.0, 29.0, 29.0, 38.0, 28.0, 28.0, 25.0, 32.0, 29.0, 29.0, 27.0]","[27, 30, 27, 27, 27, 26, 26, 9, 27, 26, 27, 10, 26, 34, 30, 36, 28, 29, 26, 33, 27, 26, 13, 30, 62, 30, 28, 28, 29, 28, 30, 29, 28, 27, 30, 28, 16, 26, 45, 34, 37, 30, 28, 30, 31, 28, 26, 27, 36, 30, 30, 33, 16, 31, 34, 28, 37, 36, 27, 33, 27, 26, 37, 29, 27, 29, 30, 12, 28, 28, 12, 29, 46, 34, 29, 30, 29, 29, 11, 35, 28, 37, 30, 29, 29, 29, 27, 27, 30, 34, 29, 29, 38, 28, 28, 25, 32, 29, 29, 27]",0.4893465150135411,746.3166689252281,0.2233779387839863,0.1449785045297337,0.0,113430.191,6.621,11.635,64547.919,2.918,3004,3004,3004,728,97.08506493506493,63.51363636363635,0.75123316,0.6934004,0.80906594
46.0,11.0,29.32,29.32,25,6,3741,737,3741,False,129,5,dede1_00000,59eecdea239d4a3c8ff1b4230c0d3f19,2022-08-17_20-56-13,1660762573,115.27851581573486,568.8367247581482,88559,Christophs-MBP,127.0.0.1,568.8367247581482,3741,5,19.990622997283936,"[30.0, 28.0, 28.0, 29.0, 28.0, 30.0, 29.0, 28.0, 27.0, 30.0, 28.0, 16.0, 26.0, 45.0, 34.0, 37.0, 30.0, 28.0, 30.0, 31.0, 28.0, 26.0, 27.0, 36.0, 30.0, 30.0, 33.0, 16.0, 31.0, 34.0, 28.0, 37.0, 36.0, 27.0, 33.0, 27.0, 26.0, 37.0, 29.0, 27.0, 29.0, 30.0, 12.0, 28.0, 28.0, 12.0, 29.0, 46.0, 34.0, 29.0, 30.0, 29.0, 29.0, 11.0, 35.0, 28.0, 37.0, 30.0, 29.0, 29.0, 29.0, 27.0, 27.0, 30.0, 34.0, 29.0, 29.0, 38.0, 28.0, 28.0, 25.0, 32.0, 29.0, 29.0, 27.0, 30.0, 34.0, 41.0, 30.0, 29.0, 18.0, 29.0, 29.0, 36.0, 27.0, 30.0, 17.0, 38.0, 30.0, 28.0, 28.0, 32.0, 30.0, 29.0, 28.0, 31.0, 27.0, 27.0, 31.0, 28.0]","[30, 28, 28, 29, 28, 30, 29, 28, 27, 30, 28, 16, 26, 45, 34, 37, 30, 28, 30, 31, 28, 26, 27, 36, 30, 30, 33, 16, 31, 34, 28, 37, 36, 27, 33, 27, 26, 37, 29, 27, 29, 30, 12, 28, 28, 12, 29, 46, 34, 29, 30, 29, 29, 11, 35, 28, 37, 30, 29, 29, 29, 27, 27, 30, 34, 29, 29, 38, 28, 28, 25, 32, 29, 29, 27, 30, 34, 41, 30, 29, 18, 29, 29, 36, 27, 30, 17, 38, 30, 28, 28, 32, 30, 29, 28, 31, 27, 27, 31, 28]",0.48354202554429576,753.9905444460422,0.22061434630732438,0.15093828780160515,0.0,113817.7,6.574,10.797,69296.874,2.941,3741,3741,3741,737,91.14846625766872,63.98220858895704,0.7204249,0.69099534,0.7498545
54.0,9.0,29.68,29.68,25,6,4516,775,4516,False,154,6,dede1_00000,59eecdea239d4a3c8ff1b4230c0d3f19,2022-08-17_20-58-01,1660762681,107.77303981781006,676.6097645759583,88559,Christophs-MBP,127.0.0.1,676.6097645759583,4516,6,19.990622997283936,"[30.0, 33.0, 16.0, 31.0, 34.0, 28.0, 37.0, 36.0, 27.0, 33.0, 27.0, 26.0, 37.0, 29.0, 27.0, 29.0, 30.0, 12.0, 28.0, 28.0, 12.0, 29.0, 46.0, 34.0, 29.0, 30.0, 29.0, 29.0, 11.0, 35.0, 28.0, 37.0, 30.0, 29.0, 29.0, 29.0, 27.0, 27.0, 30.0, 34.0, 29.0, 29.0, 38.0, 28.0, 28.0, 25.0, 32.0, 29.0, 29.0, 27.0, 30.0, 34.0, 41.0, 30.0, 29.0, 18.0, 29.0, 29.0, 36.0, 27.0, 30.0, 17.0, 38.0, 30.0, 28.0, 28.0, 32.0, 30.0, 29.0, 28.0, 31.0, 27.0, 27.0, 31.0, 28.0, 31.0, 32.0, 17.0, 54.0, 31.0, 34.0, 29.0, 31.0, 11.0, 30.0, 32.0, 50.0, 37.0, 30.0, 9.0, 32.0, 38.0, 28.0, 36.0, 41.0, 28.0, 27.0, 28.0, 28.0, 31.0]","[30, 33, 16, 31, 34, 28, 37, 36, 27, 33, 27, 26, 37, 29, 27, 29, 30, 12, 28, 28, 12, 29, 46, 34, 29, 30, 29, 29, 11, 35, 28, 37, 30, 29, 29, 29, 27, 27, 30, 34, 29, 29, 38, 28, 28, 25, 32, 29, 29, 27, 30, 34, 41, 30, 29, 18, 29, 29, 36, 27, 30, 17, 38, 30, 28, 28, 32, 30, 29, 28, 31, 27, 27, 31, 28, 31, 32, 17, 54, 31, 34, 29, 31, 11, 30, 32, 50, 37, 30, 9, 32, 38, 28, 36, 41, 28, 27, 28, 28, 31]",0.47067586872050865,756.5124349278371,0.22052146588823887,0.15577527983217138,0.0,112817.471,6.672,10.169,74014.43,3.034,4516,4516,4516,775,88.89078947368421,63.3703947368421,0.6846167,0.69015926,0.67907417
54.0,9.0,30.46,30.46,25,6,5322,806,5322,False,179,7,dede1_00000,59eecdea239d4a3c8ff1b4230c0d3f19,2022-08-17_20-59-52,1660762792,110.6377820968628,787.247546672821,88559,Christophs-MBP,127.0.0.1,787.247546672821,5322,7,19.990622997283936,"[30.0, 29.0, 29.0, 11.0, 35.0, 28.0, 37.0, 30.0, 29.0, 29.0, 29.0, 27.0, 27.0, 30.0, 34.0, 29.0, 29.0, 38.0, 28.0, 28.0, 25.0, 32.0, 29.0, 29.0, 27.0, 30.0, 34.0, 41.0, 30.0, 29.0, 18.0, 29.0, 29.0, 36.0, 27.0, 30.0, 17.0, 38.0, 30.0, 28.0, 28.0, 32.0, 30.0, 29.0, 28.0, 31.0, 27.0, 27.0, 31.0, 28.0, 31.0, 32.0, 17.0, 54.0, 31.0, 34.0, 29.0, 31.0, 11.0, 30.0, 32.0, 50.0, 37.0, 30.0, 9.0, 32.0, 38.0, 28.0, 36.0, 41.0, 28.0, 27.0, 28.0, 28.0, 31.0, 35.0, 49.0, 30.0, 36.0, 43.0, 29.0, 30.0, 31.0, 13.0, 29.0, 29.0, 31.0, 29.0, 35.0, 24.0, 41.0, 38.0, 37.0, 28.0, 29.0, 29.0, 39.0, 33.0, 30.0, 29.0]","[30, 29, 29, 11, 35, 28, 37, 30, 29, 29, 29, 27, 27, 30, 34, 29, 29, 38, 28, 28, 25, 32, 29, 29, 27, 30, 34, 41, 30, 29, 18, 29, 29, 36, 27, 30, 17, 38, 30, 28, 28, 32, 30, 29, 28, 31, 27, 27, 31, 28, 31, 32, 17, 54, 31, 34, 29, 31, 11, 30, 32, 50, 37, 30, 9, 32, 38, 28, 36, 41, 28, 27, 28, 28, 31, 35, 49, 30, 36, 43, 29, 30, 31, 13, 29, 29, 31, 29, 35, 24, 41, 38, 37, 28, 29, 29, 39, 33, 30, 29]",0.4694008374590019,761.0135533426434,0.21923172751873285,0.16015633091153136,0.0,112511.572,6.757,9.839,77271.404,2.974,5322,5322,5322,806,89.68726114649682,63.1687898089172,0.67182297,0.6899409,0.653705
54.0,9.0,30.63,30.63,26,6,6097,775,6097,False,205,8,dede1_00000,59eecdea239d4a3c8ff1b4230c0d3f19,2022-08-17_21-01-42,1660762902,110.3058853149414,897.5534319877625,88559,Christophs-MBP,127.0.0.1,897.5534319877625,6097,8,19.990622997283936,"[34.0, 41.0, 30.0, 29.0, 18.0, 29.0, 29.0, 36.0, 27.0, 30.0, 17.0, 38.0, 30.0, 28.0, 28.0, 32.0, 30.0, 29.0, 28.0, 31.0, 27.0, 27.0, 31.0, 28.0, 31.0, 32.0, 17.0, 54.0, 31.0, 34.0, 29.0, 31.0, 11.0, 30.0, 32.0, 50.0, 37.0, 30.0, 9.0, 32.0, 38.0, 28.0, 36.0, 41.0, 28.0, 27.0, 28.0, 28.0, 31.0, 35.0, 49.0, 30.0, 36.0, 43.0, 29.0, 30.0, 31.0, 13.0, 29.0, 29.0, 31.0, 29.0, 35.0, 24.0, 41.0, 38.0, 37.0, 28.0, 29.0, 29.0, 39.0, 33.0, 30.0, 29.0, 31.0, 30.0, 30.0, 30.0, 30.0, 32.0, 41.0, 34.0, 29.0, 9.0, 33.0, 23.0, 29.0, 31.0, 32.0, 30.0, 26.0, 18.0, 28.0, 32.0, 29.0, 31.0, 33.0, 30.0, 45.0, 29.0]","[34, 41, 30, 29, 18, 29, 29, 36, 27, 30, 17, 38, 30, 28, 28, 32, 30, 29, 28, 31, 27, 27, 31, 28, 31, 32, 17, 54, 31, 34, 29, 31, 11, 30, 32, 50, 37, 30, 9, 32, 38, 28, 36, 41, 28, 27, 28, 28, 31, 35, 49, 30, 36, 43, 29, 30, 31, 13, 29, 29, 31, 29, 35, 24, 41, 38, 37, 28, 29, 29, 39, 33, 30, 29, 31, 30, 30, 30, 30, 32, 41, 34, 29, 9, 33, 23, 29, 31, 32, 30, 26, 18, 28, 32, 29, 31, 33, 30, 45, 29]",0.4655846506569098,761.4911777092525,0.2166096485125822,0.1602061717788672,0.0,112238.957,6.79,9.885,77098.805,3.177,6097,6097,6097,775,86.41666666666667,62.38397435897437,0.64797956,0.68975466,0.60620445
54.0,9.0,31.73,31.73,24,6,6914,817,6914,False,229,9,dede1_00000,59eecdea239d4a3c8ff1b4230c0d3f19,2022-08-17_21-03-38,1660763018,115.6479480266571,1013.2013800144196,88559,Christophs-MBP,127.0.0.1,1013.2013800144196,6914,9,19.990622997283936,"[31.0, 32.0, 17.0, 54.0, 31.0, 34.0, 29.0, 31.0, 11.0, 30.0, 32.0, 50.0, 37.0, 30.0, 9.0, 32.0, 38.0, 28.0, 36.0, 41.0, 28.0, 27.0, 28.0, 28.0, 31.0, 35.0, 49.0, 30.0, 36.0, 43.0, 29.0, 30.0, 31.0, 13.0, 29.0, 29.0, 31.0, 29.0, 35.0, 24.0, 41.0, 38.0, 37.0, 28.0, 29.0, 29.0, 39.0, 33.0, 30.0, 29.0, 31.0, 30.0, 30.0, 30.0, 30.0, 32.0, 41.0, 34.0, 29.0, 9.0, 33.0, 23.0, 29.0, 31.0, 32.0, 30.0, 26.0, 18.0, 28.0, 32.0, 29.0, 31.0, 33.0, 30.0, 45.0, 29.0, 39.0, 44.0, 48.0, 36.0, 50.0, 30.0, 31.0, 30.0, 34.0, 33.0, 32.0, 47.0, 31.0, 31.0, 30.0, 35.0, 36.0, 40.0, 29.0, 30.0, 12.0, 30.0, 29.0, 30.0]","[31, 32, 17, 54, 31, 34, 29, 31, 11, 30, 32, 50, 37, 30, 9, 32, 38, 28, 36, 41, 28, 27, 28, 28, 31, 35, 49, 30, 36, 43, 29, 30, 31, 13, 29, 29, 31, 29, 35, 24, 41, 38, 37, 28, 29, 29, 39, 33, 30, 29, 31, 30, 30, 30, 30, 32, 41, 34, 29, 9, 33, 23, 29, 31, 32, 30, 26, 18, 28, 32, 29, 31, 33, 30, 45, 29, 39, 44, 48, 36, 50, 30, 31, 30, 34, 33, 32, 47, 31, 31, 30, 35, 36, 40, 29, 30, 12, 30, 29, 30]",0.4607010440040035,756.329731043975,0.2143542676880852,0.16186597783899212,0.0,112626.919,6.821,9.644,79654.944,3.138,6914,6914,6914,817,87.8689024390244,61.787195121951235,0.56563455,0.68959785,0.44167122
52.0,9.0,32.35,32.35,24,6,7720,806,7720,False,253,10,dede1_00000,59eecdea239d4a3c8ff1b4230c0d3f19,2022-08-17_21-05-21,1660763121,102.76414918899536,1115.965529203415,88559,Christophs-MBP,127.0.0.1,1115.965529203415,7720,10,19.990622997283936,"[31.0, 35.0, 49.0, 30.0, 36.0, 43.0, 29.0, 30.0, 31.0, 13.0, 29.0, 29.0, 31.0, 29.0, 35.0, 24.0, 41.0, 38.0, 37.0, 28.0, 29.0, 29.0, 39.0, 33.0, 30.0, 29.0, 31.0, 30.0, 30.0, 30.0, 30.0, 32.0, 41.0, 34.0, 29.0, 9.0, 33.0, 23.0, 29.0, 31.0, 32.0, 30.0, 26.0, 18.0, 28.0, 32.0, 29.0, 31.0, 33.0, 30.0, 45.0, 29.0, 39.0, 44.0, 48.0, 36.0, 50.0, 30.0, 31.0, 30.0, 34.0, 33.0, 32.0, 47.0, 31.0, 31.0, 30.0, 35.0, 36.0, 40.0, 29.0, 30.0, 12.0, 30.0, 29.0, 30.0, 32.0, 32.0, 34.0, 34.0, 32.0, 31.0, 31.0, 35.0, 29.0, 31.0, 31.0, 52.0, 30.0, 38.0, 30.0, 34.0, 29.0, 30.0, 29.0, 35.0, 31.0, 35.0, 46.0, 35.0]","[31, 35, 49, 30, 36, 43, 29, 30, 31, 13, 29, 29, 31, 29, 35, 24, 41, 38, 37, 28, 29, 29, 39, 33, 30, 29, 31, 30, 30, 30, 30, 32, 41, 34, 29, 9, 33, 23, 29, 31, 32, 30, 26, 18, 28, 32, 29, 31, 33, 30, 45, 29, 39, 44, 48, 36, 50, 30, 31, 30, 34, 33, 32, 47, 31, 31, 30, 35, 36, 40, 29, 30, 12, 30, 29, 30, 32, 32, 34, 34, 32, 31, 31, 35, 29, 31, 31, 52, 30, 38, 30, 34, 29, 30, 29, 35, 31, 35, 46, 35]",0.4553347107448721,749.6835417507708,0.21092711275506978,0.16288513349208344,0.0,111644.219,6.915,9.434,81828.083,3.116,7720,7720,7720,806,86.67328767123287,62.97328767123289,0.52180326,0.68998957,0.35361692
